rater,dataset,journal,year,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readme,analysisPgrm,analysisCode,codeArchived,complScore,reuseScore,suppMat,notes
C,12,Evolution,2012,0,meas/obs,table,2,.xml,0,1,Image J; JMP; R,1,0,5,4,1,"Detailed readme files are included with archived data. Most data is raw, however only NRQ values for qPCRs have been archived. Paper explains NRQ is derived as the mean value of duplicate wells of the virus load relative to the actin load in each infected plant. Raw data for virus, actin, and duplicate wells is not provided."
C,19,Science,2012,-1,meas/obs,table,1,.csv/.txt,1,1,R,1,0,5,5,0,"Excellent. All raw data for the study has been archived. Additional readme file explains column heading, units and abbreviations. Data not archived in supplementary material."
C,29,Journal of Evolutionary Biology,2012,0,meas/gen,table,1,.xlxs,0,0,Arlequin; FSTAT; Structure,NA,0,1,1,1,"Description provided on Dryad is insufficient to understand the data values or sample information. It is also unclear as to what the archived data are, other than relating to genotyping work performed in the paper.  Paper combines cranial measurements with genetic data but cranial measurements only provided as summary statistics throughout the paper. "
C,43,Journal of Evolutionary Biology,2012,1,meas/obs,table,7,.pdf,0,1,SPSS,NA,0,5,2,0,"Raw rata are archived in .pdf files, with detailed readme file that explains all information archived. "
C,56,Biology Letters,2013,-1,meas/obs,table,1,.xlsx,0,0,JMP,NA,0,4,3,0,Paper is required to understand all columns from data archived on Dryad. Data archived are means from triplicate assays. Bib area measurments of 2 to 4 photos are not archived.
C,69,The American Naturalist,2013,0,meas,table,1,.csv,1,1,R,1,0,2,5,1,Readme file contains good descriptions of data archived on Dryad.  Paper is required to understand the substrate meaning and how it was determined.  Results are reproducible with the data that is archived (some archived data are averages of raw measurements).  Further methods and results are detailed in supplementary material - the data presented in supplementary figures appear to be missing.
C,92,Evolution,2013,0,meas/obs,table/script,4,.txt/.rtf,1,0,R,1,1,4,4,1,"A combination of raw and processed data has been archived. Traits measured are based on multiple measurements, but the raw measurements are not archived. Readme files are good, but one readme file is incorrect and the corresponding table is therefore unclear. Understanding all column headings would require the paper. Unable to open supplementary file. Paper lists this file as containing results obtained to generate the final model.  "
C,96,Evolutionary Applications,2013,0,meas/obs,table,1,.xls,0,0,SAS,NA,0,4,3,0,The column headings in the file archived on Dryad would require the paper to be understood fully. Raw genetic data used for populations in the present study was generated from a previous study. Inbreeding effective population size estimates given in supplementary material but not necessary for analysis.
C,98,The American Naturalist,2013,0,meas/obs,table,5,.xls/.txt,0,1,R,1,1,5,3,1,A mixture of raw and processed data has been archived. Raw data to calculate habitat parameters is absent.  
D,10,The American Naturalist,2012,0,meas/obs,table,4,.txt,1,0,R,1,0,3,3,0,Missing metrics & keys for abbreviations. Lacking full details of column headers. Some column headers & factor levels differ from variable names/factor levels in the paper. Not all raw data included (some derived metrics only). Missing dataset on local temperature (collection refered to in paper)
D,12,Evolution,2012,0,meas/obs,table,2,.xml,0,0,JMP & R,1,0,4,3,0,xml file not readily computer-readible (2 tabs) & poorly laid out for direct analysis in statistical software. Lacking full details of terms used in readme file (i.e. readme file refers to text for full details). Lacking raw data for some analyses. Not all data refered to in the paper are present in the tables
D,19,Science,2012,-1,meas/obs,table,1,.csv,1,1,R,1,0,5,5,0,"Data table not best formatted for direct use in statistical software, but otherwise good."
D,29,Journal of Evolutionary Biology,2012,0,gen,table,1,.xlsx,0,0,Not specified,NA,0,1,2,1,Data table not described (no metadata). No explanation of headers/ no headers at all. No information about what the data actually show. Not all data in paper available (more present in SI but still incomplete)
D,43,Journal of Evolutionary Biology,2012,1,obs,table,5,.pdf,0,0,SPSS,1,0,4,2,0,Lacking full details of column headers & factor levels in metadata. Data tables all stored as .pdf files. 
D,56,Biology Letters,2013,-1,meas,table,2,.xlsx,0,0,JMP & R,1,0,2,4,0,Lacking full details of column headers (e.g. abbreviations not explained). Very limited metadata. Missing key data (e.g. life history state). Lacking raw data for some analyses (e.g. just mean values of replicated data). 
D,69,The American Naturalist,2013,0,meas,table,1,.csv,1,1,R,1,0,2,4,0,"Incomplete data, some key individual-based  (esp. env) data missing. Some data in SI that are not in data table"
D,92,Evolution,2013,0,meas/obs,table/code,4,.txt/ .rtf,1,0,R,1,some,4,5,0,Some R-script (for simulations) but not ALL code made available. One of the ReadMe files is a replicate of another (so some metabata missing)
D,96,Evolutionary Applications,2013,0,meas/ gen,table,1,.xlsx,0,0,SAS,1,0,4,3,0,Incomplete data. Lacking much raw data (a lot in cumulative format). Little metadata available (e.g. on what column headers mean/ units of measures etc)
D,98,The American Naturalist,2013,0,meas/obs,table/code,5,.xls/ .txt,0,0,R,1,some,3,3,1,"Missing key data about source populations (some raw observational data in SI). ReadMe info stored as additional tabs in .xls data files. Metadata doesn’t clarify/explain data. Missing much of the raw data, just lots of derived data (e.g. means & sums). Data is split into different tables according to site (poor format for statistical analysis)"
